Year,Title,Authors,Link
2025,Turning Up the Heat: Min-p Sampling for Creative and Coherent LLM Outputs.,"Nguyen Nhat Minh, Andrew Baker, Clement Neo, Allen G. Roush, Andreas Kirsch, Ravid Shwartz-Ziv",https://openreview.net/forum?id=FBkpCyujtS
2025,Joint Graph Rewiring and Feature Denoising via Spectral Resonance.,"Jonas Linkerhägner, Cheng Shi, Ivan Dokmanic",https://openreview.net/forum?id=zBbZ2vdLzH
2025,Iterative Nash Policy Optimization: Aligning LLMs with General Preferences via No-Regret Learning.,"Yuheng Zhang, Dian Yu, Baolin Peng, Linfeng Song, Ye Tian, Mingyue Huo, Nan Jiang, Haitao Mi, Dong Yu",https://openreview.net/forum?id=Pujt3ADZgI
2025,Progressive Compression with Universally Quantized Diffusion Models.,"Yibo Yang, Justus C. Will, Stephan Mandt",https://openreview.net/forum?id=CxXGvKRDnL
2025,Accelerated training through iterative gradient propagation along the residual path.,"Erwan Fagnou, Paul Caillon, Blaise Delattre, Alexandre Allauzen",https://openreview.net/forum?id=JDm7oIcx4Y
2025,Tight Lower Bounds under Asymmetric High-Order Hölder Smoothness and Uniform Convexity.,"Site Bai, Brian Bullins",https://openreview.net/forum?id=fMTPkDEhLQ
2025,"ShEPhERD: Diffusing shape, electrostatics, and pharmacophores for bioisosteric drug design.","Keir Adams, Kento Abeywardane, Jenna C. Fromer, Connor W. Coley",https://openreview.net/forum?id=KSLkFYHlYg
2025,Restructuring Vector Quantization with the Rotation Trick.,"Christopher Fifty, Ronald Guenther Junkins, Dennis Duan, Aniketh Iyengar, Jerry Weihong Liu, Ehsan Amid, Sebastian Thrun, Christopher Ré",https://openreview.net/forum?id=GMwRl2e9Y1
2025,Interpreting Emergent Planning in Model-Free Reinforcement Learning.,"Thomas Bush, Stephen Chung, Usman Anwar, Adrià Garriga-Alonso, David Krueger",https://openreview.net/forum?id=DzGe40glxs
2025,Standard Gaussian Process is All You Need for High-Dimensional Bayesian Optimization.,"Zhitong Xu, Haitao Wang, Jeff M. Phillips, Shandian Zhe",https://openreview.net/forum?id=kX8h23UG6v
